value
3
3
42
128
128
3
42
3
42
3
128
3
42
3
3
3
42
42
42
42
42
3
128
3
128
128
3
3
128
42
42
42
128
42
42
128
128
128
128
128
3
3
3
3
128
3
42
128
3
42
128
128
3
42
3
3
3
3
3
42
3
3
128
128
3
42
42
42
128
3
128
42
128
128
3
128
42
128
128
42
3
42
42
42
3
42
42
128
128
3
128
3
3
128
3
3
3
3
128
3
3
3
3
3
42
128
128
3
128
42
42
42
3
42
128
128
3
3
42
42
128
128
3
3
3
42
3
128
128
42
42
3
42
42
3
42
42
128
42
3
3
3
42
3
42
128
3
42
3
42
42
3
42
128
3
42
128
3
3
42
42
128
128
3
42
128
3
42
3
128
3
128
42
128
42
42
3
42
3
42
3
3
42
128
128
128
128
128
42
3
128
3
3
3
128
3
3
42
42
42
3
42
42
42
3
42
128
128
3
42
42
42
3
42
128
128
128
42
42
3
3
128
42
42
128
42
42
3
128
3
42
42
3
3
42
3
3
3
128
42
128
3
42
3
42
128
128
42
71
42
42
42
42
128
128
128
128
3
3
42
42
128
3
42
42
128
3
42
42
42
128
42
42
3
3
42
128
128
128
128
3
3
128
42
128
128
128
128
128
128
42
3
3
42
42
3
128
3
3
3
252
3
128
128
42
42
3
42
128
3
128
3
3
42
128
128
3
42
128
128
128
42
3
128
128
42
42
128
128
3
128
128
128
42
128
3
3
128
42
3
3
3
42
42
42
3
3
42
3
3
128
128
3
128
42
128
42
42
42
3
128
42
128
128
3
42
42
3
3
3
42
42
128
128
128
42
128
128
3
42
128
128
128
3
3
42
42
3
128
128
128
128
42
128
3
3
42
3
42
3
3
42
128
3
42
42
128
3
3
42
42
42
128
128
128
128
42
3
128
42
3
128
42
3
42
128
3
3
42
42
128
3
3
3
128
128
3
128
128
128
42
3
42
3
3
42
3
42
128
3
128
3
3
128
42
42
42
42
128
3
3
128
42
3
42
128
42
3
3
42
42
42
3
3
128
42
3
42
42
42
42
128
42
3
3
128
128
42
3
42
3
128
42
128
42
128
42
42
42
128
128
3
128
3
128
128
42
128
128
128
3
128
3
128
42
42
3
42
128
128
3
3
3
3
3
42
3
42
128
42
128
42
3
128
42
128
42
42
3
3
42
42
3
42
42
128
42
128
42
42
128
3
128
128
42
3
128
42
3
3
128
3
128
3
128
128
128
42
128
3
128
128
3
42
42
128
42
3
128
128
128
42
128
3
128
128
42
3
128
128
42
42
42
42
3
128
42
3
3
42
3
42
128
128
3
128
42
42
128
3
3
42
42
3
42
3
42
3
3
128
3
3
128
42
3
3
128
42
3
42
128
3
3
128
42
128
42
42
42
3
3
128
128
3
3
128
128
42
3
3
128
128
3
42
42
42
3
3
42
128
128
3
128
3
42
128
128
3
128
3
128
128
128
42
128
42
42
42
3
3
42
42
128
42
42
3
42
42
42
3
128
128
3
3
128
3
42
3
3
42
42
128
42
128
128
42
128
42
3
3
3
42
128
3
3
128
128
42
42
3
128
128
42
128
3
3
42
128
42
3
42
128
3
3
42
42
42
128
3
128
3
128
128
128
128
42
42
42
3
3
128
42
3
3
42
3
128
42
3
42
128
3
3
128
3
128
128
42
3
42
128
128
42
128
128
128
42
128
3
42
3
3
128
3
3
3
128
3
128
3
128
3
42
3
3
42
3
3
42
42
128
3
42
128
128
128
128
128
128
128
42
42
42
42
3
42
128
42
128
128
3
128
42
128
128
128
3
128
42
3
128
42
42
3
128
42
128
42
128
42
3
128
128
42
3
3
128
128
3
128
128
3
3
128
128
128
128
42
42
42
42
3
3
128
42
3
3
128
3
42
42
3
3
128
128
3
3
3
128
42
3
128
42
128
42
128
3
3
3
42
42
42
42
42
42
3
42
42
3
128
42
3
128
42
128
3
3
128
3
3
42
128
42
42
3
3
42
128
42
3
42
3
42
42
42
3
128
42
3
3
128
42
42
229
3
128
3
128
128
3
3
128
3
3
3
3
42
3
128
128
3
3
3
3
42
3
42
3
128
3
42
42
3
42
3
128
42
3
3
128
128
128
3
42
3
3
3
3
3
42
42
3
3
128
128
128
128
42
3
42
42
128
128
42
42
128
3
3
128
3
42
42
42
128
128
3
128
42
3
3
128
128
3
42
42
3
42
3
128
128
42
128
3
3
128
128
3
128
42
42
128
42
128
42
42
42
128
42
3
3
128
3
42
128
128
42
128
3
128
128
128
42
42
128
128
128
3
128
42
3
128
128
128
3
42
128
3
128
42
42
128
3
3
3
128
3
3
42
42
42
128
42
42
128
3
128
42
42
128
128
42
42
42
3
42
3
3
42
128
3
128
42
42
128
42
3
42
3
42
3
128
128
3
3
3
128
3
128
42
128
3
42
128
3
3
3
128
42
3
128
42
42
128
128
128
128
3
3
128
128
42
42
3
128
3
128
42
42
42
128
3
3
128
3
42
42
128
3
42
42
3
42
42
128
11
42
42
3
3
42
42
128
128
42
3
128
3
3
128
3
128
128
128
128
3
42
3
42
3
42
42
128
42
42
42
3
128
42
3
42
128
42
42
3
128
42
3
3
128
3
3
3
42
128
128
42
3
128
128
3
128
3
128
42
3
128
42
42
3
128
42
128
3
42
42
3
42
128
42
3
3
128
3
42
128
3
42
128
3
3
42
3
42
128
3
3
3
128
128
3
128
128
42
3
3
3
42
42
3
128
42
3
128
3
3
128
42
